K,strategy,rep,spearman
500,random,6,0.9790209790209792
500,random,7,0.9300699300699302
500,random,8,0.965034965034965
500,random,9,0.9580419580419581
500,random,10,0.9510489510489512
500,random,11,0.8951048951048951
500,random,12,0.9160839160839163
500,random,13,0.8601398601398602
500,random,14,0.8811188811188813
500,random,15,0.9370629370629372
500,random,16,0.965034965034965
500,random,17,0.9790209790209792
500,random,18,0.9370629370629372
500,random,19,0.9580419580419581
500,random,20,0.965034965034965
500,random,21,0.9580419580419581
500,random,22,0.8321678321678322
500,random,23,0.8321678321678322
500,random,24,0.8321678321678322
500,random,25,0.9510489510489512
500,random,26,0.9510489510489512
500,random,27,0.9090909090909092
500,random,28,0.965034965034965
500,random,29,0.8951048951048951
500,random,30,0.9160839160839163
500,random,31,0.9510489510489512
500,random,32,0.9790209790209792
500,random,33,0.9510489510489512
500,random,34,0.9720279720279721
500,random,35,0.8321678321678322
500,random,36,0.9860139860139862
500,random,37,0.8951048951048951
500,random,38,0.9510489510489512
500,random,39,0.9230769230769231
500,random,40,0.8321678321678322
500,random,41,0.965034965034965
500,random,42,0.9790209790209792
500,random,43,0.9440559440559443
500,random,44,0.965034965034965
500,random,45,0.9300699300699302
500,random,46,0.9580419580419581
500,random,47,0.9440559440559443
500,random,48,0.965034965034965
500,random,49,0.9440559440559443
500,random,50,0.8811188811188813
500,random,51,0.965034965034965
500,random,52,0.9790209790209792
500,random,53,0.9440559440559443
500,random,54,0.9790209790209792
500,random,55,0.9020979020979022
500,random,56,0.9300699300699302
500,random,57,0.9720279720279721
500,random,58,0.7552447552447553
500,random,59,0.9160839160839163
500,random,60,0.9440559440559443
500,random,61,0.9790209790209792
500,random,62,0.9720279720279721
500,random,63,0.965034965034965
500,random,64,0.8531468531468532
500,random,65,0.9580419580419581
500,random,66,0.9370629370629372
500,random,67,0.9930069930069931
500,random,68,0.9230769230769231
500,random,69,0.9370629370629372
500,random,70,0.965034965034965
500,random,71,0.8951048951048951
500,random,72,0.965034965034965
500,random,73,0.9720279720279721
500,random,74,0.9160839160839163
500,random,75,0.9090909090909092
500,random,76,0.9860139860139862
500,random,77,0.9020979020979022
500,random,78,0.9860139860139862
500,random,79,0.9230769230769231
500,random,80,0.9930069930069931
500,random,81,0.7552447552447553
500,random,82,0.9580419580419581
500,random,83,0.9370629370629372
500,random,84,0.9090909090909092
500,random,85,0.965034965034965
500,random,86,0.9230769230769231
500,random,87,0.9440559440559443
500,random,88,0.9860139860139862
500,random,89,1.0
500,random,90,0.8881118881118882
500,random,91,0.965034965034965
500,random,92,0.9510489510489512
500,random,93,0.9510489510489512
500,random,94,0.965034965034965
500,random,95,0.8461538461538463
500,random,96,0.9160839160839163
500,random,97,0.9300699300699302
500,random,98,0.9580419580419581
500,random,99,0.9440559440559443
1000,top_discrimination,0,0.6993006993006995
1000,fisher_info_at_mean,0,0.6013986013986015
1000,random,0,0.9440559440559443
1000,random,1,0.9720279720279721
1000,random,2,0.9440559440559443
1000,random,3,0.9230769230769231
1000,random,4,0.9440559440559443
1000,random,5,0.9230769230769231
1000,random,6,0.9440559440559443
1000,random,7,0.9860139860139862
1000,random,8,0.9790209790209792
1000,random,9,0.9300699300699302
1000,random,10,0.9860139860139862
1000,random,11,0.965034965034965
1000,random,12,0.9370629370629372
1000,random,13,0.9160839160839163
1000,random,14,0.965034965034965
1000,random,15,0.9860139860139862
1000,random,16,0.9930069930069931
1000,random,17,0.9790209790209792
1000,random,18,0.9860139860139862
1000,random,19,0.965034965034965
1000,random,20,0.9930069930069931
1000,random,21,0.9720279720279721
1000,random,22,0.9720279720279721
1000,random,23,0.9720279720279721
1000,random,24,0.9230769230769231
1000,random,25,0.965034965034965
1000,random,26,0.9720279720279721
1000,random,27,0.9930069930069931
1000,random,28,0.9790209790209792
1000,random,29,0.8111888111888113
1000,random,30,0.9720279720279721
1000,random,31,0.965034965034965
1000,random,32,0.9370629370629372
1000,random,33,0.9790209790209792
1000,random,34,0.9720279720279721
1000,random,35,0.9930069930069931
1000,random,36,0.9790209790209792
1000,random,37,0.9930069930069931
1000,random,38,0.9720279720279721
1000,random,39,0.9580419580419581
1000,random,40,0.9790209790209792
1000,random,41,0.9860139860139862
1000,random,42,0.9930069930069931
1000,random,43,0.965034965034965
1000,random,44,0.9300699300699302
1000,random,45,0.9720279720279721
1000,random,46,0.965034965034965
1000,random,47,0.9790209790209792
1000,random,48,0.965034965034965
1000,random,49,0.965034965034965
1000,random,50,0.9790209790209792
1000,random,51,0.9580419580419581
1000,random,52,0.9790209790209792
1000,random,53,0.9720279720279721
1000,random,54,0.9440559440559443
1000,random,55,0.965034965034965
1000,random,56,0.9720279720279721
1000,random,57,0.9510489510489512
1000,random,58,0.9440559440559443
1000,random,59,0.9720279720279721
1000,random,60,0.9860139860139862
1000,random,61,0.9230769230769231
1000,random,62,0.9440559440559443
1000,random,63,0.9440559440559443
1000,random,64,0.9860139860139862
1000,random,65,0.9720279720279721
1000,random,66,0.8601398601398602
1000,random,67,0.9790209790209792
1000,random,68,0.9720279720279721
1000,random,69,0.9860139860139862
1000,random,70,0.9790209790209792
1000,random,71,0.9720279720279721
1000,random,72,0.965034965034965
1000,random,73,0.9860139860139862
1000,random,74,0.9790209790209792
1000,random,75,0.9580419580419581
1000,random,76,0.9720279720279721
1000,random,77,0.9860139860139862
1000,random,78,0.9440559440559443
1000,random,79,0.9930069930069931
1000,random,80,0.965034965034965
1000,random,81,0.965034965034965
1000,random,82,0.8881118881118882
1000,random,83,0.965034965034965
1000,random,84,0.8881118881118882
1000,random,85,0.965034965034965
1000,random,86,0.9860139860139862
1000,random,87,0.9860139860139862
1000,random,88,0.965034965034965
1000,random,89,0.965034965034965
1000,random,90,0.9370629370629372
1000,random,91,0.9300699300699302
1000,random,92,0.9440559440559443
1000,random,93,0.9720279720279721
1000,random,94,0.9510489510489512
1000,random,95,1.0
1000,random,96,0.9230769230769231
1000,random,97,0.9440559440559443
1000,random,98,0.965034965034965
1000,random,99,0.9440559440559443
2000,top_discrimination,0,0.7762237762237763
2000,fisher_info_at_mean,0,0.5664335664335665
2000,random,0,0.965034965034965
