subject,pathology,attribute,group_A,group_B,n_A,n_B,acc_A,acc_B,delta_acc,z
Qwen2.5-VL-3B,Lung Lesion,age,60-79,<40,3728,1503,0.86105,0.84365,0.01741,1.6228
Qwen2.5-VL-3B,Edema,age,60-79,<40,3728,1503,0.55258,0.68796,-0.13538,-9.0138
Qwen2.5-VL-3B,Consolidation,age,60-79,<40,3728,1503,0.50027,0.61344,-0.11317,-7.4238
Qwen2.5-VL-3B,Pneumonia,age,60-79,<40,3728,1503,0.73525,0.77312,-0.03787,-2.8481
Qwen2.5-VL-3B,Atelectasis,age,60-79,<40,3728,1503,0.40156,0.55223,-0.15067,-9.9231
Qwen2.5-VL-3B,Pneumothorax,age,60-79,<40,3728,1503,0.8691,0.78909,0.08001,7.2569
Qwen2.5-VL-3B,Pleural Effusion,age,60-79,<40,3728,1503,0.48981,0.63806,-0.14825,-9.7244
Qwen2.5-VL-3B,Pleural Other,age,60-79,<40,3728,1503,0.86373,0.9002,-0.03647,-3.599
Qwen2.5-VL-3B,Fracture,age,60-79,<40,3728,1503,0.70628,0.73453,-0.02825,-2.0472
Qwen2.5-VL-3B,Support Devices,age,60-79,<40,3728,1503,0.66792,0.69328,-0.02536,-1.7725
Qwen2.5-VL-7B,No Finding,age,60-79,<40,3732,1504,0.84941,0.78723,0.06218,5.4393
Qwen2.5-VL-7B,Enlarged Cardiomediastinum,age,60-79,<40,3732,1504,0.66077,0.62101,0.03976,2.7282
Qwen2.5-VL-7B,Cardiomegaly,age,60-79,<40,3732,1504,0.60959,0.56981,0.03978,2.6565
Qwen2.5-VL-7B,Lung Opacity,age,60-79,<40,3732,1504,0.52974,0.49601,0.03373,2.2106
Qwen2.5-VL-7B,Lung Lesion,age,60-79,<40,3732,1504,0.86683,0.84508,0.02175,2.0557
Qwen2.5-VL-7B,Edema,age,60-79,<40,3732,1504,0.54904,0.68285,-0.13381,-8.8995
Qwen2.5-VL-7B,Consolidation,age,60-79,<40,3732,1504,0.49544,0.56649,-0.07104,-4.6545
Qwen2.5-VL-7B,Pneumonia,age,60-79,<40,3732,1504,0.73392,0.73338,0.00055,0.0404
Qwen2.5-VL-7B,Atelectasis,age,60-79,<40,3732,1504,0.3963,0.54987,-0.15356,-10.128
Qwen2.5-VL-7B,Pneumothorax,age,60-79,<40,3732,1504,0.87728,0.79255,0.08472,7.8325
Qwen2.5-VL-7B,Pleural Effusion,age,60-79,<40,3732,1504,0.48473,0.63697,-0.15224,-9.9853
Qwen2.5-VL-7B,Pleural Other,age,60-79,<40,3732,1504,0.8746,0.9129,-0.0383,-3.9398
Qwen2.5-VL-7B,Fracture,age,60-79,<40,3732,1504,0.7074,0.7254,-0.018,-1.3025
Qwen2.5-VL-7B,Support Devices,age,60-79,<40,3732,1504,0.73794,0.7746,-0.03666,-2.7663
gpt-4o,No Finding,age,60-79,<40,535,177,0.95888,0.9661,-0.00722,-0.4286
gpt-4o,Enlarged Cardiomediastinum,age,60-79,<40,535,177,0.63551,0.71186,-0.07635,-1.8516
gpt-4o,Cardiomegaly,age,60-79,<40,535,177,0.67664,0.67797,-0.00133,-0.0328
gpt-4o,Lung Opacity,age,60-79,<40,535,177,0.78505,0.74576,0.03928,1.0854
gpt-4o,Lung Lesion,age,60-79,<40,535,177,0.91402,0.85876,0.05526,2.127
gpt-4o,Edema,age,60-79,<40,535,177,0.64673,0.74576,-0.09903,-2.4314
gpt-4o,Consolidation,age,60-79,<40,535,177,0.66729,0.72316,-0.05587,-1.3827
gpt-4o,Pneumonia,age,60-79,<40,535,177,0.71963,0.67797,0.04166,1.058
gpt-4o,Atelectasis,age,60-79,<40,535,177,0.63364,0.68362,-0.04997,-1.2052
gpt-4o,Pneumothorax,age,60-79,<40,535,177,0.93084,0.80226,0.12858,4.9184
gpt-4o,Pleural Effusion,age,60-79,<40,535,177,0.68037,0.57062,0.10975,2.6591
gpt-4o,Pleural Other,age,60-79,<40,535,177,0.97009,0.94915,0.02094,1.3121
gpt-4o,Fracture,age,60-79,<40,535,177,0.90093,0.88136,0.01958,0.7399
gpt-4o,Support Devices,age,60-79,<40,535,177,0.82617,0.82486,0.00131,0.0398
GPT-5.4,No Finding,age,80+,<40,3350,3754,0.88209,0.86201,0.02008,2.5239
GPT-5.4,Enlarged Cardiomediastinum,age,80+,<40,3350,3754,0.60687,0.69046,-0.0836,-7.3794
GPT-5.4,Cardiomegaly,age,80+,<40,3350,3754,0.67463,0.77331,-0.09868,-9.3174
GPT-5.4,Lung Opacity,age,80+,<40,3350,3754,0.80448,0.80341,0.00107,0.1132
GPT-5.4,Lung Lesion,age,80+,<40,3350,3754,0.86448,0.85615,0.00832,1.0096
GPT-5.4,Edema,age,80+,<40,3350,3754,0.61134,0.76425,-0.15291,-13.9373
GPT-5.4,Consolidation,age,80+,<40,3350,3754,0.74776,0.79755,-0.04979,-5.0092
GPT-5.4,Pneumonia,age,80+,<40,3350,3754,0.75642,0.81406,-0.05765,-5.9228
GPT-5.4,Atelectasis,age,80+,<40,3350,3754,0.7009,0.75519,-0.0543,-5.1435
GPT-5.4,Pneumothorax,age,80+,<40,3350,3754,0.93701,0.84204,0.09498,12.614
GPT-5.4,Pleural Effusion,age,80+,<40,3350,3754,0.8009,0.84417,-0.04327,-4.7782
GPT-5.4,Pleural Other,age,80+,<40,3350,3754,0.83493,0.88759,-0.05266,-6.4389
GPT-5.4,Fracture,age,80+,<40,3350,3754,0.66239,0.73548,-0.07309,-6.7176
GPT-5.4,Support Devices,age,80+,<40,3350,3754,0.81701,0.8407,-0.02369,-2.6504
Qwen2.5-VL-3B,No Finding,age,80+,<40,1310,1503,0.69466,0.67598,0.01868,1.0633
Qwen2.5-VL-3B,Enlarged Cardiomediastinum,age,80+,<40,1310,1503,0.4374,0.59082,-0.15341,-8.1236
Qwen2.5-VL-3B,Cardiomegaly,age,80+,<40,1310,1503,0.50458,0.65336,-0.14878,-7.9861
Qwen2.5-VL-3B,Lung Opacity,age,80+,<40,1310,1503,0.46794,0.52029,-0.05235,-2.7703
Qwen2.5-VL-3B,Lung Lesion,age,80+,<40,1310,1503,0.84733,0.84365,0.00368,0.2694
Qwen2.5-VL-3B,Edema,age,80+,<40,1310,1503,0.45649,0.68796,-0.23147,-12.4082
Qwen2.5-VL-3B,Consolidation,age,80+,<40,1310,1503,0.49542,0.61344,-0.11802,-6.2879
Qwen2.5-VL-3B,Pneumonia,age,80+,<40,1310,1503,0.71145,0.77312,-0.06167,-3.7404
Qwen2.5-VL-3B,Atelectasis,age,80+,<40,1310,1503,0.4084,0.55223,-0.14383,-7.6139
Qwen2.5-VL-3B,Pneumothorax,age,80+,<40,1310,1503,0.91527,0.78909,0.12618,9.2944
Qwen2.5-VL-3B,Pleural Effusion,age,80+,<40,1310,1503,0.46947,0.63806,-0.16859,-8.9846
Qwen2.5-VL-3B,Pleural Other,age,80+,<40,1310,1503,0.84962,0.9002,-0.05058,-4.0694
Qwen2.5-VL-3B,Fracture,age,80+,<40,1310,1503,0.67634,0.73453,-0.0582,-3.3842
Qwen2.5-VL-3B,Support Devices,age,80+,<40,1310,1503,0.68168,0.69328,-0.0116,-0.6624
Qwen2.5-VL-7B,No Finding,age,80+,<40,1311,1504,0.87338,0.78723,0.08615,6.0324
Qwen2.5-VL-7B,Enlarged Cardiomediastinum,age,80+,<40,1311,1504,0.7193,0.62101,0.09829,5.5186
Qwen2.5-VL-7B,Cardiomegaly,age,80+,<40,1311,1504,0.66514,0.56981,0.09533,5.1829
Qwen2.5-VL-7B,Lung Opacity,age,80+,<40,1311,1504,0.5553,0.49601,0.05929,3.1419
Qwen2.5-VL-7B,Lung Lesion,age,80+,<40,1311,1504,0.85889,0.84508,0.01381,1.0276
Qwen2.5-VL-7B,Edema,age,80+,<40,1311,1504,0.44241,0.68285,-0.24044,-12.8565
Qwen2.5-VL-7B,Consolidation,age,80+,<40,1311,1504,0.47597,0.56649,-0.09052,-4.7969
Qwen2.5-VL-7B,Pneumonia,age,80+,<40,1311,1504,0.72464,0.73338,-0.00874,-0.5206
Qwen2.5-VL-7B,Atelectasis,age,80+,<40,1311,1504,0.40351,0.54987,-0.14636,-7.7522
Qwen2.5-VL-7B,Pneumothorax,age,80+,<40,1311,1504,0.93669,0.79255,0.14414,10.9833
Qwen2.5-VL-7B,Pleural Effusion,age,80+,<40,1311,1504,0.46682,0.63697,-0.17015,-9.0669
Qwen2.5-VL-7B,Pleural Other,age,80+,<40,1311,1504,0.87109,0.9129,-0.04181,-3.5859
Qwen2.5-VL-7B,Fracture,age,80+,<40,1311,1504,0.67811,0.7254,-0.04729,-2.7401
Qwen2.5-VL-7B,Support Devices,age,80+,<40,1311,1504,0.65217,0.7746,-0.12243,-7.1975
gpt-4o,No Finding,age,80+,<40,352,177,0.97443,0.9661,0.00833,0.5446
gpt-4o,Enlarged Cardiomediastinum,age,80+,<40,352,177,0.61932,0.71186,-0.09255,-2.1061
gpt-4o,Cardiomegaly,age,80+,<40,352,177,0.67614,0.67797,-0.00183,-0.0425
gpt-4o,Lung Opacity,age,80+,<40,352,177,0.76989,0.74576,0.02412,0.6146
