item_idx,image_path,pathology,intercept_Z,loading_V_0,loading_V_1,loading_V_2
141,CheXpert-v1.0/train/patient64560/study1/view2_lateral.jpg,Atelectasis,-0.483035,-0.014717,-1.076701,-0.650897
142,CheXpert-v1.0/train/patient64560/study1/view2_lateral.jpg,Pleural Effusion,1.594910,-3.030971,-1.415044,-0.719048
143,CheXpert-v1.0/train/patient64560/study1/view2_lateral.jpg,Support Devices,-2.006277,1.649723,0.605487,0.734550
144,CheXpert-v1.0/train/patient64561/study1/view1_frontal.jpg,Cardiomegaly,2.221812,-0.947855,-1.213020,-1.273266
145,CheXpert-v1.0/train/patient64561/study1/view1_frontal.jpg,Lung Opacity,-1.394855,0.364230,0.088134,-1.306911
146,CheXpert-v1.0/train/patient64561/study1/view1_frontal.jpg,Edema,1.691220,-1.998505,-1.416008,-1.741548
147,CheXpert-v1.0/train/patient64561/study1/view1_frontal.jpg,Atelectasis,-1.549030,-0.391843,0.644250,2.490601
148,CheXpert-v1.0/train/patient64561/study1/view1_frontal.jpg,Pleural Effusion,0.761040,-0.597237,-3.286083,-3.696258
149,CheXpert-v1.0/train/patient64561/study1/view1_frontal.jpg,Support Devices,0.116734,-1.327344,-2.901911,-1.641102
150,CheXpert-v1.0/train/patient64563/study1/view1_frontal.jpg,Cardiomegaly,3.576030,-2.491005,-1.273359,-0.950421
151,CheXpert-v1.0/train/patient64563/study1/view1_frontal.jpg,Lung Opacity,-1.439960,0.713726,2.265170,1.794644
152,CheXpert-v1.0/train/patient64563/study1/view1_frontal.jpg,Edema,-0.313363,-0.406748,-0.909239,0.559668
153,CheXpert-v1.0/train/patient64563/study1/view1_frontal.jpg,Atelectasis,0.182983,-0.773537,0.596214,-1.250419
154,CheXpert-v1.0/train/patient64563/study1/view1_frontal.jpg,Pleural Effusion,2.434222,-0.283636,-0.575731,-1.526907
155,CheXpert-v1.0/train/patient64563/study1/view1_frontal.jpg,Support Devices,1.877317,0.554051,-2.174773,-2.423061
156,CheXpert-v1.0/train/patient64564/study1/view1_frontal.jpg,Cardiomegaly,-2.468272,2.006810,-0.146786,0.108976
157,CheXpert-v1.0/train/patient64564/study1/view1_frontal.jpg,Lung Opacity,2.510118,-1.430019,-0.912437,-0.342243
158,CheXpert-v1.0/train/patient64564/study1/view1_frontal.jpg,Edema,1.600214,-1.401383,-0.490129,-1.228840
159,CheXpert-v1.0/train/patient64564/study1/view1_frontal.jpg,Atelectasis,2.355834,1.766279,-3.125617,-2.062540
160,CheXpert-v1.0/train/patient64564/study1/view1_frontal.jpg,Pleural Effusion,-0.736054,1.371414,0.973846,0.765543
161,CheXpert-v1.0/train/patient64564/study1/view1_frontal.jpg,Support Devices,1.473733,-0.172677,-0.495409,-2.527523
162,CheXpert-v1.0/train/patient64565/study1/view1_frontal.jpg,Cardiomegaly,-4.571593,1.346653,-3.708311,-3.121426
163,CheXpert-v1.0/train/patient64565/study1/view1_frontal.jpg,Lung Opacity,-4.640545,1.727378,-2.428135,-2.949262
164,CheXpert-v1.0/train/patient64565/study1/view1_frontal.jpg,Edema,3.440331,-2.837895,0.084505,0.959915
165,CheXpert-v1.0/train/patient64565/study1/view1_frontal.jpg,Atelectasis,1.531593,-0.714017,-0.235185,-2.892299
166,CheXpert-v1.0/train/patient64565/study1/view1_frontal.jpg,Pleural Effusion,-2.801869,3.178515,-2.067051,-1.889917
167,CheXpert-v1.0/train/patient64565/study1/view1_frontal.jpg,Support Devices,2.239335,-3.322874,0.670002,0.891370
168,CheXpert-v1.0/train/patient64566/study1/view1_frontal.jpg,Cardiomegaly,1.664543,-1.574775,-0.131030,-1.232418
169,CheXpert-v1.0/train/patient64566/study1/view1_frontal.jpg,Lung Opacity,-2.542439,2.127215,-3.898475,-3.896343
170,CheXpert-v1.0/train/patient64566/study1/view1_frontal.jpg,Edema,1.461594,-4.497219,0.112475,1.493876
171,CheXpert-v1.0/train/patient64566/study1/view1_frontal.jpg,Atelectasis,-2.063465,2.729725,-4.173188,-3.348761
172,CheXpert-v1.0/train/patient64566/study1/view1_frontal.jpg,Pleural Effusion,2.056922,-3.679114,0.748154,0.605692
173,CheXpert-v1.0/train/patient64566/study1/view1_frontal.jpg,Support Devices,2.226105,-3.481905,0.294817,1.100459
174,CheXpert-v1.0/train/patient64566/study1/view2_lateral.jpg,Cardiomegaly,2.090026,-4.302489,0.241856,1.320663
175,CheXpert-v1.0/train/patient64566/study1/view2_lateral.jpg,Lung Opacity,-4.000379,1.750699,-2.008185,0.867569
176,CheXpert-v1.0/train/patient64566/study1/view2_lateral.jpg,Edema,4.558688,-1.928246,0.806607,-0.070874
177,CheXpert-v1.0/train/patient64566/study1/view2_lateral.jpg,Atelectasis,-2.118906,3.308753,-2.793041,-0.811198
178,CheXpert-v1.0/train/patient64566/study1/view2_lateral.jpg,Pleural Effusion,3.115183,-2.848803,0.670076,0.742265
179,CheXpert-v1.0/train/patient64566/study1/view2_lateral.jpg,Support Devices,-2.746977,3.396039,-0.661106,-0.982938
180,CheXpert-v1.0/train/patient64567/study1/view1_frontal.jpg,Cardiomegaly,2.765879,-2.555237,1.046956,0.266852
181,CheXpert-v1.0/train/patient64567/study1/view1_frontal.jpg,Lung Opacity,0.850481,-0.992631,-1.453394,-2.406727
182,CheXpert-v1.0/train/patient64567/study1/view1_frontal.jpg,Edema,3.017377,-2.815791,1.614251,0.424290
183,CheXpert-v1.0/train/patient64567/study1/view1_frontal.jpg,Atelectasis,2.883281,-3.047137,1.149219,0.870551
184,CheXpert-v1.0/train/patient64567/study1/view1_frontal.jpg,Pleural Effusion,0.447592,-4.385128,0.355844,1.907400
185,CheXpert-v1.0/train/patient64567/study1/view1_frontal.jpg,Support Devices,1.337914,-3.989347,1.081372,0.921079
186,CheXpert-v1.0/train/patient64567/study1/view2_lateral.jpg,Cardiomegaly,1.605192,-2.914143,4.031908,-0.617155
187,CheXpert-v1.0/train/patient64567/study1/view2_lateral.jpg,Lung Opacity,4.243581,-2.822595,0.855793,0.556627
188,CheXpert-v1.0/train/patient64567/study1/view2_lateral.jpg,Edema,1.987786,-1.860493,-2.175410,-1.795169
189,CheXpert-v1.0/train/patient64567/study1/view2_lateral.jpg,Atelectasis,1.885745,-3.333857,1.617144,0.538487
190,CheXpert-v1.0/train/patient64567/study1/view2_lateral.jpg,Pleural Effusion,2.136768,-1.417442,-2.041400,-1.414177
191,CheXpert-v1.0/train/patient64567/study1/view2_lateral.jpg,Support Devices,-1.375721,-0.676463,2.122956,2.397855
192,CheXpert-v1.0/train/patient64568/study1/view1_frontal.jpg,Cardiomegaly,4.455095,-3.108304,-0.177872,0.930042
193,CheXpert-v1.0/train/patient64568/study1/view1_frontal.jpg,Lung Opacity,2.420975,-3.517610,0.708927,1.209340
194,CheXpert-v1.0/train/patient64568/study1/view1_frontal.jpg,Edema,3.642569,-3.323943,0.351553,0.767790
195,CheXpert-v1.0/train/patient64568/study1/view1_frontal.jpg,Atelectasis,1.799492,-3.802506,0.716639,1.580886
196,CheXpert-v1.0/train/patient64568/study1/view1_frontal.jpg,Pleural Effusion,3.096600,-3.639716,-0.343929,1.591553
197,CheXpert-v1.0/train/patient64568/study1/view1_frontal.jpg,Support Devices,3.288293,-3.607980,0.275872,1.066623
198,CheXpert-v1.0/train/patient64569/study1/view1_frontal.jpg,Cardiomegaly,-2.340579,2.971473,-2.251102,0.368353
199,CheXpert-v1.0/train/patient64569/study1/view1_frontal.jpg,Lung Opacity,-3.364401,2.138415,-2.342284,-4.796894
200,CheXpert-v1.0/train/patient64569/study1/view1_frontal.jpg,Edema,3.156066,-3.481474,0.147134,1.270937
201,CheXpert-v1.0/train/patient64569/study1/view1_frontal.jpg,Atelectasis,1.021875,-0.431898,-0.472929,0.325641
202,CheXpert-v1.0/train/patient64569/study1/view1_frontal.jpg,Pleural Effusion,2.944888,-1.823795,3.816427,1.437754
203,CheXpert-v1.0/train/patient64569/study1/view1_frontal.jpg,Support Devices,-3.566745,1.957921,-3.439481,-2.003627
204,CheXpert-v1.0/train/patient64570/study1/view1_frontal.jpg,Cardiomegaly,2.798798,-3.108309,0.981340,0.178912
205,CheXpert-v1.0/train/patient64570/study1/view1_frontal.jpg,Lung Opacity,-5.505238,1.237788,-2.257247,-3.177045
206,CheXpert-v1.0/train/patient64570/study1/view1_frontal.jpg,Edema,3.069964,-3.522039,-0.408928,1.441115
207,CheXpert-v1.0/train/patient64570/study1/view1_frontal.jpg,Atelectasis,4.498085,-1.397506,3.197907,2.090415
208,CheXpert-v1.0/train/patient64570/study1/view1_frontal.jpg,Pleural Effusion,0.959772,-4.038324,1.934571,3.063618
209,CheXpert-v1.0/train/patient64570/study1/view1_frontal.jpg,Support Devices,2.880109,-2.786805,1.042969,0.318236
210,CheXpert-v1.0/train/patient64570/study1/view2_lateral.jpg,Cardiomegaly,1.520988,-3.855118,1.260894,1.147130
211,CheXpert-v1.0/train/patient64570/study1/view2_lateral.jpg,Lung Opacity,-2.560932,3.761454,0.331091,-1.462592
212,CheXpert-v1.0/train/patient64570/study1/view2_lateral.jpg,Edema,1.382637,-3.750644,0.844785,1.462311
213,CheXpert-v1.0/train/patient64570/study1/view2_lateral.jpg,Atelectasis,2.419911,-2.989418,0.725848,0.713006
214,CheXpert-v1.0/train/patient64570/study1/view2_lateral.jpg,Pleural Effusion,1.205196,-3.988913,2.613220,2.702680
215,CheXpert-v1.0/train/patient64570/study1/view2_lateral.jpg,Support Devices,-2.501747,3.548644,-0.833761,-0.317413
216,CheXpert-v1.0/train/patient64571/study1/view1_frontal.jpg,Cardiomegaly,1.272690,-2.827123,-1.273884,-0.304599
217,CheXpert-v1.0/train/patient64571/study1/view1_frontal.jpg,Lung Opacity,1.954269,-1.017647,-0.933647,-1.632271
